#k-distance eigenvalue[eV]
0.00000000 -18.87927310
0.03061489 -18.87667310
0.06122975 -18.86897310
0.09184464 -18.85617310
0.12245953 -18.83827310
0.15307439 -18.81517310
0.18368928 -18.78697310
0.21430417 -18.75367310
0.24491903 -18.71527310
0.27553392 -18.67177310
0.30614881 -18.62317310
0.33676367 -18.56947310
0.36737856 -18.51067310
0.39799345 -18.44687310
0.42860831 -18.37797310
0.45922320 -18.30407310
0.48983808 -18.22507310
0.52045294 -18.14117310
0.55106783 -18.05217310
0.58168272 -17.95827310
0.61229758 -17.85937310
0.64291247 -17.75557310
0.67352736 -17.64677310
0.70414222 -17.53317310
0.73475711 -17.41467310
0.76537200 -17.29137310
0.79598686 -17.16317310
0.82660175 -17.03037310
0.85721664 -16.89277310
0.88783150 -16.75057310
0.91844639 -16.60367310
0.94906128 -16.45227310
0.97967614 -16.29627310
1.01029103 -16.13597310
1.04090592 -15.97127310
1.07152078 -15.80257310
1.10213567 -15.62967310
1.13275056 -15.45287310
1.16336542 -15.27237310
1.19398031 -15.08857310
1.22459520 -14.90187310
1.25521006 -14.71297310
1.28582495 -14.52287310
1.31643984 -14.33297310
1.34705470 -14.14637310
1.37766959 -13.96827310
1.40828447 -13.80907310
1.43889933 -13.68967310
1.46951422 -13.64297310
1.46951422 -13.64297310
1.48718972 -13.64227310
1.50486525 -13.64007310
1.52254074 -13.63637310
1.54021627 -13.63127310
1.55789176 -13.62467310
1.57556729 -13.61657310
1.59324278 -13.60707310
1.61091831 -13.59607310
1.62859381 -13.58357310
1.64626930 -13.56967310
1.66394483 -13.55427310
1.68162032 -13.53737310
1.69929585 -13.51907310
1.71697135 -13.49927310
1.73464687 -13.47807310
1.75232237 -13.45537310
1.76999789 -13.43117310
1.78767339 -13.40557310
1.80534888 -13.37847310
1.82302441 -13.34987310
1.84069991 -13.31987310
1.85837543 -13.28837310
1.87605093 -13.25547310
1.89372645 -13.22107310
1.91140195 -13.18517310
1.92907747 -13.14787310
1.94675297 -13.10917310
1.96442847 -13.06897310
1.98210399 -13.02727310
1.99977949 -12.98417310
2.01745501 -12.93957310
2.03513051 -12.89357310
2.05280603 -12.84607310
2.07048153 -12.79717310
2.08815705 -12.74677310
2.10583255 -12.69497310
2.12350805 -12.64177310
2.14118357 -12.58707310
2.15885907 -12.53097310
2.17653459 -12.47337310
2.19421009 -12.41447310
2.21188561 -12.35407310
2.22956111 -12.29217310
2.24723663 -12.22897310
2.26491213 -12.16427310
2.28258763 -12.09817310
2.30026315 -12.03067310
2.31793865 -11.96487310
2.31793865 -11.96487310
2.35328964 -12.11947310
2.38864069 -12.30637310
2.42399169 -12.51387310
2.45934268 -12.73487310
2.49469373 -12.96447310
2.53004472 -13.19877310
2.56539577 -13.43527310
2.60074677 -13.67197310
2.63609781 -13.90757310
2.67144881 -14.14117310
2.70679985 -14.37167310
2.74215085 -14.59877310
