# energy dos(up) dos(down)
-4.917667434999999898e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-4.877897434999999859e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-4.838127434999999821e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-4.798357434999999782e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-4.758587434999999743e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-4.718817434999999705e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-4.679047434999999666e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-4.639277434999999628e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-4.599507434999999589e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-4.559737434999999550e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-4.519967434999999512e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-4.480197434999999473e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-4.440427434999999434e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-4.400657434999999396e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-4.360887434999999357e+01 3.273600000000000065e+00 -3.273600000000000065e+00
-4.321117435000000739e+01 3.885899999999999910e+00 -3.885899999999999910e+00
-4.281347435000000701e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-4.241577434999999952e+01 1.240499999999999936e+00 -1.240499999999999936e+00
-4.201807434999999913e+01 6.064899999999999736e+00 -6.064899999999999736e+00
-4.162037434999999874e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-4.122267435000000546e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-4.082497435000000507e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-4.042727435000000469e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-4.002957435000000430e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.963187435000000391e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.923417435000000353e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.883647435000000314e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.843877435000000276e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.804107435000000237e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.764337435000000198e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.724567435000000160e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.684797435000000121e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.645027435000000082e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.605257435000000044e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.565487435000000005e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.525717434999999966e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.485947434999999928e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.446177434999999889e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.406407434999999850e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.366637434999999812e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.326867434999999773e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.287097434999999734e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.247327434999999696e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.207557434999999657e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.167787434999999974e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.128017434999999935e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.088247434999999896e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.048477434999999858e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.008707435000000174e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-2.968937435000000136e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-2.929167435000000097e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-2.889397435000000058e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-2.849627435000000020e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-2.809857434999999981e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-2.770087434999999942e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-2.730317434999999904e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-2.690547434999999865e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-2.650777434999999826e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-2.611007434999999788e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-2.571237435000000104e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-2.531467435000000066e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-2.491697435000000027e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-2.451927434999999988e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-2.412157434999999950e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-2.372387435000000266e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-2.332617435000000228e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-2.292847435000000189e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-2.253067434999999819e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-2.213297434999999780e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-2.173527435000000096e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-2.133757435000000058e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-2.093987435000000019e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-2.054217434999999981e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-2.014447435000000297e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.974677435000000258e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.934907435000000220e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.895137435000000181e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.855367435000000143e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.815597435000000104e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.775827435000000065e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.736057435000000027e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.696287434999999988e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.656517434999999949e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.616747434999999911e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.576977435000000050e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.537207435000000011e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.497437435000000150e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.457667435000000111e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.417897435000000073e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.378127435000000034e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.338357434999999995e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.298587434999999957e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.258817435000000096e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.219047435000000057e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.179277435000000018e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.139507434999999980e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.099737435000000119e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.059967435000000080e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.020197435000000041e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.804274350000000027e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-9.406574349999999640e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-9.008874350000001030e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-8.611174350000000643e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-8.213474350000000257e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-7.815774349999999870e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-7.418074350000000372e+00 2.479999999999999913e-02 -2.479999999999999913e-02
-7.020374350000000874e+00 3.910000000000000281e-02 -3.910000000000000281e-02
-6.622674350000000487e+00 4.309999999999999942e-02 -4.309999999999999942e-02
-6.224974350000000101e+00 1.058000000000000052e-01 -1.058000000000000052e-01
-5.827274350000000602e+00 1.250000000000000000e-01 -1.250000000000000000e-01
-5.429574350000000216e+00 1.019000000000000045e-01 -1.019000000000000045e-01
-5.031874350000000717e+00 1.671999999999999875e-01 -1.671999999999999875e-01
-4.634174350000000331e+00 1.940999999999999948e-01 -1.940999999999999948e-01
-4.236474349999999944e+00 4.232000000000000206e-01 -4.232000000000000206e-01
-3.838774350000000446e+00 8.498999999999999888e-01 -8.498999999999999888e-01
-3.441074350000000059e+00 1.116700000000000026e+00 -1.116700000000000026e+00
-3.043374350000000561e+00 1.384100000000000108e+00 -1.384100000000000108e+00
-2.645674350000000175e+00 8.054000000000000048e-01 -8.054000000000000048e-01
-2.247974349999999788e+00 1.528599999999999959e+00 -1.528599999999999959e+00
-1.850274350000001178e+00 1.751200000000000090e+00 -1.751200000000000090e+00
-1.452574350000000791e+00 1.701999999999999957e+00 -1.701999999999999957e+00
-1.054874350000000405e+00 2.271300000000000097e+00 -2.271300000000000097e+00
-6.571743500000000182e-01 9.777000000000000135e-01 -9.777000000000000135e-01
-2.594743499999996317e-01 7.010999999999999455e-01 -7.010999999999999455e-01
1.382256499999989785e-01 3.443999999999999839e-01 -3.443999999999999839e-01
5.359256499999993650e-01 5.989999999999999769e-01 -5.989999999999999769e-01
9.336256499999997516e-01 1.868200000000000083e+00 -1.868200000000000083e+00
1.331325650000000138e+00 2.900100000000000122e+00 -2.900100000000000122e+00
1.729025650000000525e+00 2.248299999999999965e+00 -2.248299999999999965e+00
2.126725649999999135e+00 1.625599999999999934e+00 -1.625599999999999934e+00
2.524425649999999521e+00 1.280499999999999972e+00 -1.280499999999999972e+00
2.922125649999999908e+00 6.546999999999999487e-01 -6.546999999999999487e-01
3.319825650000000294e+00 2.534000000000000141e-01 -2.534000000000000141e-01
3.717525649999998905e+00 4.008999999999999786e-01 -4.008999999999999786e-01
4.115225649999999291e+00 2.625000000000000111e-01 -2.625000000000000111e-01
4.512925649999999678e+00 3.917999999999999816e-01 -3.917999999999999816e-01
4.910625650000000064e+00 9.890000000000000180e-02 -9.890000000000000180e-02
5.308325650000000451e+00 4.101000000000000201e-01 -4.101000000000000201e-01
5.706025650000000837e+00 2.374999999999999889e-01 -2.374999999999999889e-01
6.103725650000001224e+00 1.358000000000000040e-01 -1.358000000000000040e-01
6.501425649999998058e+00 1.314999999999999947e+00 -1.314999999999999947e+00
6.899125649999998444e+00 1.582500000000000018e+00 -1.582500000000000018e+00
7.296825649999998831e+00 2.358999999999999986e-01 -2.358999999999999986e-01
7.694525649999999217e+00 6.049999999999999822e-02 -6.049999999999999822e-02
8.092325649999999371e+00 2.016700000000000159e+00 -2.016700000000000159e+00
8.490025649999999757e+00 6.460000000000000464e-02 -6.460000000000000464e-02
8.887725650000000144e+00 1.300999999999999934e-01 -1.300999999999999934e-01
9.285425650000000530e+00 2.239999999999999977e-02 -2.239999999999999977e-02
9.683125650000000917e+00 1.927000000000000102e-01 -1.927000000000000102e-01
1.008082565000000130e+01 6.207000000000000295e-01 -6.207000000000000295e-01
1.047852564999999814e+01 5.816000000000000059e-01 -5.816000000000000059e-01
1.087622564999999852e+01 1.817999999999999894e-01 -1.817999999999999894e-01
1.127392564999999891e+01 6.370999999999999996e-01 -6.370999999999999996e-01
1.167162564999999930e+01 3.612000000000000210e-01 -3.612000000000000210e-01
1.206932564999999968e+01 2.854999999999999760e-01 -2.854999999999999760e-01
1.246702565000000007e+01 6.179000000000000048e-01 -6.179000000000000048e-01
1.286472565000000046e+01 3.635999999999999788e-01 -3.635999999999999788e-01
1.326242565000000084e+01 2.898999999999999910e-01 -2.898999999999999910e-01
1.366012565000000123e+01 4.522999999999999798e-01 -4.522999999999999798e-01
1.405782564999999806e+01 5.786000000000000032e-01 -5.786000000000000032e-01
1.445552564999999845e+01 1.542999999999999927e-01 -1.542999999999999927e-01
1.485322564999999884e+01 4.924999999999999933e-01 -4.924999999999999933e-01
1.525092564999999922e+01 5.007000000000000339e-01 -5.007000000000000339e-01
1.564862564999999961e+01 3.593999999999999972e-01 -3.593999999999999972e-01
1.604632565000000000e+01 4.118999999999999884e-01 -4.118999999999999884e-01
1.644402565000000038e+01 2.218999999999999861e-01 -2.218999999999999861e-01
1.684172565000000077e+01 6.229000000000000092e-01 -6.229000000000000092e-01
1.723942565000000116e+01 3.825000000000000067e-01 -3.825000000000000067e-01
1.763712564999999799e+01 7.016000000000000014e-01 -7.016000000000000014e-01
1.803482564999999838e+01 4.729999999999999760e-01 -4.729999999999999760e-01
1.843252564999999876e+01 5.562000000000000277e-01 -5.562000000000000277e-01
1.883022564999999915e+01 4.673999999999999821e-01 -4.673999999999999821e-01
1.922792564999999954e+01 4.536999999999999922e-01 -4.536999999999999922e-01
1.962562564999999992e+01 5.322999999999999954e-01 -5.322999999999999954e-01
2.002332565000000031e+01 7.146000000000000130e-01 -7.146000000000000130e-01
2.042102565000000070e+01 4.192000000000000171e-01 -4.192000000000000171e-01
2.081872565000000108e+01 4.406999999999999806e-01 -4.406999999999999806e-01
2.121642564999999792e+01 5.059000000000000163e-01 -5.059000000000000163e-01
2.161412565000000185e+01 6.656999999999999584e-01 -6.656999999999999584e-01
2.201182565000000224e+01 3.019999999999999907e-01 -3.019999999999999907e-01
2.240952565000000263e+01 2.144000000000000072e-01 -2.144000000000000072e-01
2.280722565000000301e+01 6.302999999999999714e-01 -6.302999999999999714e-01
2.320492564999999630e+01 1.900999999999999912e-01 -1.900999999999999912e-01
2.360262564999999668e+01 2.655000000000000138e-01 -2.655000000000000138e-01
2.400032564999999707e+01 4.192000000000000171e-01 -4.192000000000000171e-01
2.439802564999999746e+01 3.774000000000000132e-01 -3.774000000000000132e-01
2.479572564999999784e+01 4.173000000000000043e-01 -4.173000000000000043e-01
2.519342564999999823e+01 7.013000000000000345e-01 -7.013000000000000345e-01
2.559112564999999861e+01 4.718999999999999861e-01 -4.718999999999999861e-01
2.598882564999999900e+01 4.364999999999999991e-01 -4.364999999999999991e-01
2.638652564999999939e+01 3.165999999999999925e-01 -3.165999999999999925e-01
2.678422564999999977e+01 2.199000000000000121e-01 -2.199000000000000121e-01
2.718192565000000016e+01 3.709000000000000075e-01 -3.709000000000000075e-01
2.757962565000000055e+01 7.900000000000000355e-01 -7.900000000000000355e-01
2.797732565000000093e+01 5.013999999999999568e-01 -5.013999999999999568e-01
2.837502565000000132e+01 6.047000000000000153e-01 -6.047000000000000153e-01
2.877272565000000171e+01 2.904999999999999805e-01 -2.904999999999999805e-01
2.917042565000000209e+01 4.933000000000000163e-01 -4.933000000000000163e-01
2.956812565000000248e+01 6.673999999999999932e-01 -6.673999999999999932e-01
2.996582565000000287e+01 4.900999999999999801e-01 -4.900999999999999801e-01
3.036352564999999615e+01 5.938999999999999835e-01 -5.938999999999999835e-01
3.076122564999999653e+01 4.371999999999999775e-01 -4.371999999999999775e-01
3.115892564999999692e+01 5.600000000000000533e-01 -5.600000000000000533e-01
3.155662564999999731e+01 3.837999999999999745e-01 -3.837999999999999745e-01
3.195432564999999769e+01 6.430000000000000160e-01 -6.430000000000000160e-01
3.235202565000000163e+01 6.915000000000000036e-01 -6.915000000000000036e-01
3.274972565000000202e+01 6.659000000000000474e-01 -6.659000000000000474e-01
3.314742565000000241e+01 4.139999999999999791e-01 -4.139999999999999791e-01
3.354512565000000279e+01 3.492000000000000104e-01 -3.492000000000000104e-01
3.394282565000000318e+01 6.029999999999999805e-01 -6.029999999999999805e-01
3.434052565000000357e+01 3.200000000000000067e-01 -3.200000000000000067e-01
3.473822565000000395e+01 5.956000000000000183e-01 -5.956000000000000183e-01
3.513592565000000434e+01 6.911000000000000476e-01 -6.911000000000000476e-01
3.553362565000000473e+01 5.084999999999999520e-01 -5.084999999999999520e-01
3.593132565000000511e+01 6.944000000000000172e-01 -6.944000000000000172e-01
3.632902565000000550e+01 3.634999999999999898e-01 -3.634999999999999898e-01
3.672672565000000588e+01 7.798000000000000487e-01 -7.798000000000000487e-01
3.712442565000000627e+01 7.903000000000000025e-01 -7.903000000000000025e-01
3.752212565000000666e+01 7.439999999999999947e-01 -7.439999999999999947e-01
3.791982564999999283e+01 4.561999999999999944e-01 -4.561999999999999944e-01
3.831752564999999322e+01 3.821999999999999842e-01 -3.821999999999999842e-01
3.871522564999999361e+01 5.366999999999999549e-01 -5.366999999999999549e-01
3.911302564999999731e+01 6.000999999999999668e-01 -6.000999999999999668e-01
3.951072564999999770e+01 5.644000000000000128e-01 -5.644000000000000128e-01
3.990842564999999809e+01 5.717999999999999750e-01 -5.717999999999999750e-01
4.030612564999999847e+01 4.739999999999999769e-01 -4.739999999999999769e-01
4.070382564999999886e+01 4.031000000000000139e-01 -4.031000000000000139e-01
4.110152564999999925e+01 7.589000000000000190e-01 -7.589000000000000190e-01
4.149922564999999963e+01 5.894000000000000350e-01 -5.894000000000000350e-01
4.189692565000000002e+01 4.552999999999999825e-01 -4.552999999999999825e-01
4.229462565000000041e+01 4.570000000000000173e-01 -4.570000000000000173e-01
4.269232565000000079e+01 6.007000000000000117e-01 -6.007000000000000117e-01
4.309002565000000118e+01 6.852000000000000313e-01 -6.852000000000000313e-01
4.348772565000000156e+01 4.994000000000000106e-01 -4.994000000000000106e-01
4.388542565000000195e+01 4.712999999999999967e-01 -4.712999999999999967e-01
4.428312565000000234e+01 3.966000000000000081e-01 -3.966000000000000081e-01
4.468082565000000272e+01 6.195000000000000506e-01 -6.195000000000000506e-01
4.507852565000000311e+01 4.964999999999999969e-01 -4.964999999999999969e-01
4.547622565000000350e+01 7.006000000000000005e-01 -7.006000000000000005e-01
